#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,LATITUDE,LONGITUDE,APPROVED,VERIFIED
"1","Aqui a Emenda N° 1 destina R$ 1500000,00 para Realização de obras de pavimentação asfáltica no Setor Joquei Clube","2013-01-16 00:57:00","X-Guará","Emenda N° 1<BR>Valor:  R$ 1500000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Realização de obras de pavimentação asfáltica no Setor Joquei Clube<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Desenvolvimento urbano<BR>Unidade Orçamentária: DER-DF","X-Guará,Luzia de Paula (Alírio),Urbanismo,Desenvolvimento urbano,2013,", "-15.82684", "-47.98028",YES,YES
"2","Aqui a Emenda N° 2 destina R$ 2300000,00 para Realização de obras de urbanização e Infraestrutura em diversas localidades do Guará","2013-01-16 00:57:00","X-Guará","Emenda N° 2<BR>Valor:  R$ 2300000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Realização de obras de urbanização e Infraestrutura em diversas localidades do Guará<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Desenvolvimento urbano<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Urbanismo,Desenvolvimento urbano,2013,", "-15.82684", "-47.98028",YES,YES
"3","Aqui a Emenda N° 3 destina R$ 300000,00 para Ampliação dos pontos de iluminação pública","2013-01-16 00:57:00","X-Guará","Emenda N° 3<BR>Valor:  R$ 300000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Ampliação dos pontos de iluminação pública<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Energia<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Energia,Infra-Estrutura urbana,2013,", "-15.82684", "-47.98028",YES,YES
"4","Aqui a Emenda N° 4 destina R$ 1000000,00 para Construção de campo sintético de futebol amador no Guará","2013-01-16 00:57:00","X-Guará","Emenda N° 4<BR>Valor:  R$ 1000000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de campo sintético de futebol amador no Guará<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Desporto Comunitário<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Desporto e Lazer,Desporto Comunitário,2013,", "-15.82684", "-47.98028",YES,YES
"5","Aqui a Emenda N° 5 destina R$ 150000,00 para Apoio à realização do 12o Encontro de Violeiros","2013-01-16 00:57:00","DF","Emenda N° 5<BR>Valor:  R$ 150000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização do 12o Encontro de Violeiros<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
"6","Aqui a Emenda N° 6 destina R$ 400000,00 para Construção de pista para a prática de cooper e caminhadas no Guará","2013-01-16 00:57:00","X-Guará","Emenda N° 6<BR>Valor:  R$ 400000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de pista para a prática de cooper e caminhadas no Guará<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.82684", "-47.98028",YES,YES
"7","Aqui a Emenda N° 7 destina R$ 400000,00 para Construção de Pontos de Encontro Comunitários - PEC no Guará","2013-01-16 00:57:00","X-Guará","Emenda N° 7<BR>Valor:  R$ 400000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de Pontos de Encontro Comunitários - PEC no Guará<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.82684", "-47.98028",YES,YES
"8","Aqui a Emenda N° 8 destina R$ 300000,00 para Construção de playgrounds em diversos locais do Guará","2013-01-16 00:57:00","X-Guará","Emenda N° 8<BR>Valor:  R$ 300000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de playgrounds em diversos locais do Guará<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Lazer<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Desporto e Lazer,Lazer,2013,", "-15.82684", "-47.98028",YES,YES
"9","Aqui a Emenda N° 9 destina R$ 300000,00 para Construção de diversas quadras poliesportivas no Guará","2013-01-16 00:57:00","X-Guará","Emenda N° 9<BR>Valor:  R$ 300000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de diversas quadras poliesportivas no Guará<BR>Região do DF onde será gasto o recurso: X-Guará<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Desporto Comunitário<BR>Unidade Orçamentária: AR Guará","X-Guará,Luzia de Paula (Alírio),Desporto e Lazer,Desporto Comunitário,2013,", "-15.82684", "-47.98028",YES,YES
"10","Aqui a Emenda N° 10 destina R$ 100000,00 para Construção de Pontos de Encontro Comunitários - PEC em Água Quente","2013-01-16 00:57:00","XV-Recanto das Emas","Emenda N° 10<BR>Valor:  R$ 100000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de Pontos de Encontro Comunitários - PEC em Água Quente<BR>Região do DF onde será gasto o recurso: XV-Recanto das Emas<BR>Ação: Não informada <BR>Função: Desporto e Lazer<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: AR Recanto das Emas","XV-Recanto das Emas,Luzia de Paula (Alírio),Desporto e Lazer,Infra-Estrutura urbana,2013,", "-15.90669", "-48.07214",YES,YES
"11","Aqui a Emenda N° 11 destina R$ 500000,00 para Construção de Pontos de Encontro Comunitários - PEC em Ceilândia","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 11<BR>Valor:  R$ 500000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção de Pontos de Encontro Comunitários - PEC em Ceilândia<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: Novacap","IX-Ceilândia,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.81579", "-48.11825",YES,YES
"12","Aqui a Emenda N° 12 destina R$ 350000,00 para Construção do Estacionamento do HRC","2013-01-16 00:57:00","IX-Ceilândia","Emenda N° 12<BR>Valor:  R$ 350000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Construção do Estacionamento do HRC<BR>Região do DF onde será gasto o recurso: IX-Ceilândia<BR>Ação: Não informada <BR>Função: Urbanismo<BR>Subfunção: Infra-Estrutura urbana<BR>Unidade Orçamentária: Novacap","IX-Ceilândia,Luzia de Paula (Alírio),Urbanismo,Infra-Estrutura urbana,2013,", "-15.81579", "-48.11825",YES,YES
"13","Aqui a Emenda N° 13 destina R$ 150000,00 para Apoio à realização da Semana da África","2013-01-16 00:57:00","DF","Emenda N° 13<BR>Valor:  R$ 150000,00 <BR>Autor: Luzia de Paula (Alírio) <BR>O valor será gasto em: Apoio à realização da Semana da África<BR>Região do DF onde será gasto o recurso: DF<BR>Ação: Não informada <BR>Função: Cultura<BR>Subfunção: Difusão cultural<BR>Unidade Orçamentária: SE Cultura","DF,Luzia de Paula (Alírio),Cultura,Difusão cultural,2013,", "-15.77972", "-47.92972",YES,YES
